0.1	-4.0	1.0	0.0	0.0
0.15	-4.0	1.0	0.0	0.0
0.2	-4.0	1.0	0.0	0.0
0.25	-3.999996	0.9999995	40.65203007518793	0.15879699248120296
0.3	-3.9999849999999997	0.9999981250000001	102.92397660818712	0.48245614035087686
0.35	-3.9998089999999995	0.999976125	1015.0306378190384	5.550948800572865
0.4	-3.9991849999999998	0.9998975	3560.6516290726845	22.531328320802004
0.45	-3.997782	0.9997188749999999	6980.619944924046	52.93227513227508
0.5	-3.9943720000000003	0.99928025	14590.177844611531	122.77874686716788
0.55	-3.987768	0.998425625	28693.88877151557	270.23809523809524
0.6	-3.9772220000000003	0.9970291250000001	41036.439988861064	454.92527151211374
0.65	-3.9606495	0.9947845	56796.190713470074	728.2446115288224
0.7	-3.9362455	0.991387875	95233.11871515521	1395.910884353742
0.75	-3.9023839999999996	0.986530625	123836.8283375105	2147.086883876357
0.8	-3.8567665	0.9796520000000001	151932.77631578952	3322.3478696741836
0.85	-3.797595	0.9702706249999999	194912.13847768208	5135.31991744066
0.9	-3.7187080000000003	0.956857	294992.36684303364	9568.144360902257
0.95	-3.617957	0.938153	378204.3269947724	15538.578657169246
1.0	-3.488911	0.91091325	512487.42496240593	33134.09433583961
1.05	-3.3242910000000006	0.86910175	644342.5665297026	61463.97909058362
1.1	-3.088979	0.78044075	847270.9164647156	526663.0604693552
1.15	-2.7185955	0.421793375	2.777363406702011e6	1.815660363062003e7
1.2	-2.4122935	0.076654125	875439.2177666387	4.723251063304093e6
1.25	-2.2153625	-0.005313	518235.2553383458	1.644235813213033e6
1.3	-2.0573525000000004	-0.00173475	506673.01982767554	1.2099464568343936e6
1.35	-1.926934	-0.007376125000000001	352144.88369070826	610978.4817413904
1.4	-1.8176235	-0.0029858750000000002	302589.901488415	575018.6972968135
1.45	-1.7195595000000001	-0.002362875	265954.4440649781	373787.85223403346
1.5	-1.6359	-0.001340625	292646.424951267	270375.3980785297
1.55	-1.5588265	-0.000505875	233745.21898920028	296255.21531247476
1.6	-1.4912165000000002	0.00042474999999999994	199092.74921679203	201489.08515037593
1.65	-1.428682	0.00058175	154783.09422776406	186904.95153034103
1.7	-1.3709825	0.00132175	153320.82108385157	156186.57414123547
1.75	-1.319178	0.0018184999999999998	168464.42820520693	140756.0113999284
1.8	-1.2721905	0.00113125	143476.12723165943	128031.08744082427
1.85	-1.228325	0.000269875	131546.24472064016	115341.7695454853
1.9	-1.1876955	0.00026675	121034.49971188359	115714.58704656379
1.95	-1.1503889999999999	-0.000591125	108436.42608164066	95319.58304736203
2.0	-1.114042	-0.000165	110019.54325814532	92540.80200501253
2.05	-1.0811935	-0.0001205	113584.6952061892	74515.15989974937
2.1	-1.0496584999999998	0.0001255	95132.37160929531	71413.0276166607
2.15	-1.0201615	-0.000614875	84502.6201848591	71554.52164131259
2.2	-0.9945	0.000338125	88654.49574349094	67483.08242196399
2.25	-0.965973	-0.000693375	80342.40536650269	65012.762918407134
2.3	-0.94396	-0.00011287499999999999	72247.46175457546	54266.59029094476
2.35	-0.9190535	-0.00033062499999999997	75760.51952425198	49327.02367621179
2.4	-0.8966045	-0.000478375	72802.24999999997	55887.02663951546
2.45	-0.8766219999999999	0.000627375	65445.777809788924	41394.813963480134
2.5	-0.8558104999999999	-0.0001515	70938.97040200503	43535.93439598996
